,«· ﬁ—Ì— «·ﬂ·Ì ·—”„ «·Ê«—œ ·’‰œÊﬁ «·‰ﬁœ «·œÊ·Ì,,,,,,
"April 17, 2019",,,,,,,
TAR_HSC_NB1,,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
90291000,4956.9,834202.36,,139806.57,,154274.89
41015000,224413,3544572.2,,773770,,924.95
69081000,1935882,457040524.52,,169443212.74,,375414830.2
48193010,4474641,269468265.63,,147287199.34,,61907421.45
29141200,171228.5,1269915.11,,537067.09,,275116.98
73101000,1850271.,22628742.89,,6929452.4,,3882747.26
84424000,45596.43,1836799.02,,444481.3,,235216.49
84716000,179808.8,10041668.28,,4809319.58,,616215.99
29181400,1234621,96236549.3,,18069403.92,,19905815.96
35079000,4697007.,275723245.72,,52822455.82,,70778845.07
05119990,324847,3848438.55,,407495.13,,2606640.15
84089000,2529202,310009828.63,,124414176.12,,130302226.02
73239300,1209709.,29956257.89,,6048131.43,,13463008.99
84136000,3753986.,445588310.83,,39714625.9,,112039869.86
49060000,15278.52,258734.46,,38056.56,,57654.26
58109190,6851914.,418420716.81,,74499184.99,,325550540.41
92071000,17777.04,2573339.81,,433001.36,,2835249.81
34011900,3424877,175012450.84,,45480785.87,,162984209.42
28520000,43.5,22319.1,,6767,,161.68
48111090,2851517.,12225738.18,,2276960.04,,5067511.23
40151900,459687,10753343.05,,2020045.53,,4320141.23
55169400,2224.5,65627.93,,6586,,45642.74
,,,Page 5,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
90212900,21094.19,2040859.6,,1804328.36,,60345.83
82024000,24846,891849.39,,90490.59,,467021.84
44101100,285847.7,2383516.3,,416639.6,,341879.41
44079900,4482892,1578973129.6,,1014402488.49,,1092199833.75
33011900,473716.0,27764593.05,,5419767.29,,16979156.01
27079900,9385564,13764468.18,,6440698.5,,2844684.56
82119400,4672.28,173384.79,,17976.17,,72110.25
72209000,1869374.,26054234.4,,5222814.84,,2313066.77
84822000,139088.2,4122052.35,,1037871.55,,1320681.35
84112100,46869,1831427.07,,491494,,28835.51
89080000,150548.5,17993400.34,,4457999.58,,6139217.27
89052000,211376,2913551.95,,699422.28,,28503.01
39019000,8784861.,80187362.7,,20541698.89,,15792436.47
62019100,806,25728.45,,7241.5,,4861.77
84732900,86355.45,1844885.04,,367508.11,,278930.14
70049000,6601918,95423926.96,,25911451.51,,51849188.59
84501100,467414.2,11887193.09,,4338466.58,,10906344.02
67042000,4377,49473.1,,14537.5,,46911.55
73182200,874302.9,15465559.36,,2237858.32,,6443729.12
39221000,474436.9,9415148.43,,1750604.32,,6775577.81
76090000,46692.34,1094102.62,,336989.08,,291374.07
85479000,659960.3,15984204.73,,4706657.12,,1811863.22
30033900,420443.4,89859598.25,,8785547.78,,2758285.84
84515000,113846,1785519.96,,552157.46,,99101.44
84689000,126108.1,4466472.14,,1308499.86,,860331.56
70193200,13031,690788.69,,197632.68,,492024.7
13012000,1378057,4830710.03,,1881298.1,,8.88
25202000,2932625.,4937312.73,,1018439.16,,1255299.86
48181000,318542.6,2772554.31,,617476.28,,1022809.44
40082100,203057.6,3632534.87,,479287.64,,1238882.76
73079200,353477.8,6959636.15,,2035943.47,,957640.21
90106000,94677.74,3715339.28,,688195.98,,1071130.47
63013000,122774,1590873.66,,341027.1,,1548.66
,,,Page 6,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
41012000,3549696,189492012.64,,31401030.5,,27463997.58
30019000,32291.5,2176614.71,,511543.11,,70805.56
86079100,2988229.,436880166.01,,73886589.64,,23555727.72
29124900,180683.7,1157742.34,,270763.2,,163652.39
69109000,6089022.,42478304.72,,11932329.11,,32608259.73
85279900,41193.4,4339655.58,,1211450.07,,255046.18
22011000,4090675.,111520193.31,,72153911.67,,2490642.03
82051000,290891.2,7163354.09,,828862.73,,3280882.46
83040000,1490105.,19728438.7,,4465550.4,,17993026.78
96132000,419833,4056345.73,,785115.03,,3824898.73
10019000,53067,108359.23,,152731.92,,1633.03
73079100,1206618,19428820.64,,20351968.01,,1499568.11
09012100,402735.7,9479899.96,,713738.06,,2179352.4
82023100,9886.5,420048.12,,41077,,233701.98
90272000,27902.99,11917249.79,,10457093.22,,346197.68
84119900,79938.6,8418910.65,,2130631.23,,447427.37
90089000,34212.7,2688657.17,,925620.08,,893067.2
29071100,99976,3281864.4,,3250388.44,,10562.77
68118900,1398786,5775119.98,,1342259.69,,1230071.36
29024400,97355,1765226.51,,416031.98,,279171.46
73141900,1074442,6459092.91,,1797448.04,,2243629.59
63069900,1931,208788.3,,206801,,1881.64
62031200,4615,173238.5,,655087.34,,87368.13
26020000,8645872.,13002395.54,,2191946.78,,2130062.38
40093200,10062,265240.87,,398058.51,,146678.29
70199000,9123448,65273938.7,,23853137.53,,27761279.64
85405000,3,2316.6,,858,,1054.42
84802000,143572.8,3086484.14,,446932.1,,96487.14
38190000,5396124.,71858117.22,,27490067.68,,24908190.25
44182000,1187074,94210799.92,,24374150.46,,53318163.03
68043000,109425.6,1412356.73,,160375.16,,814952.59
85462000,1067343,73788002.71,,29232624.51,,11450682.85
13021910,530,21450,,6500,,4643.92
,,,Page 7,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
15122900,1341280.,16429128.99,,1828406.48,,7969755.58
73042400,346328,2380365.18,,460670.18,,235533.93
85323000,30567.2,6122585.03,,1898380.61,,546771.88
52105100,1202,31910.4,,9868,,24760.4
41022900,155019.7,2069685.3,,554038.75,,26811.75
40092100,120146.5,1710840.79,,392680.71,,953062.66
94018000,25226.2,349705.08,,90037.3,,349638.11
12079100,11,6405.56,,1452.01,,21.12
04031000,3128246.,22379374.09,,4030625.98,,682903.39
74151000,146406,2490944.83,,186683,,645577.18
84597000,98721,3971184.9,,789612.35,,73035.17
67049000,258951,4618957.93,,739848.38,,5270340.02
90221400,341702.9,171465680.54,,295191706.88,,1632132.29
85068000,9649276.,66848209.18,,18664864.26,,51981720.08
84431400,112137,2156667.15,,286829.96,,68824.96
28070000,3816205,75531366.27,,15212417.45,,14494534.27
54025200,77287,1665331.39,,165100,,351501.52
84072900,215928.5,43034417.47,,6926999.41,,3505309.33
85286100,74705.36,8290256.63,,2573251.72,,1484454.31
28352900,1831622.,13278314.99,,2919948.08,,2250709.98
40169100,331754.9,4844105.18,,698882.96,,1544133.98
40021900,246367,1583881.17,,719751.4,,246578.71
01069090,7208,66100.2,,27806,,21950.17
84805000,16857,7014.65,,1204,,164.31
44011000,9604652,109202972.23,,22674795.81,,26499796.32
15200000,3484781,29065588.76,,4254624.81,,8573115.86
84678100,4737.65,209452.87,,138881.19,,6153.38
63021000,350340,5779438.66,,1876748.93,,5430574.66
83112000,1530763.,13478784.21,,3761826.19,,7302911.64
85461000,168039,1906547.57,,803539.11,,393935.25
62093000,4115,240823.52,,13930,,189666.05
29094900,189487.5,2275557.07,,690184.81,,445188.82
90071100,271,15633,,5790,,9137.47
,,,Page 8,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
92079000,46974,1996827.61,,522134.1,,2050362.96
29051900,389881,4100224.06,,1891818.68,,841670.57
85423300,14185.1,1529725.88,,248611.58,,633560.42
32129000,182886.8,3342891.21,,921867.96,,1487668.56
35040000,75389.5,1064088.63,,190154.56,,192601.22
61121200,241604,24085527.17,,4040188,,101050.83
40169400,101570.7,4270188.27,,857416.22,,1590367.24
84211100,12469,622717.51,,148903.28,,148491.55
63071000,393453.9,4904116.11,,765921.25,,3415870.08
85238020,3327,41594.97,,7238,,16924.82
39172300,2310074.,40650369.79,,12756124.06,,11530965.93
63052000,142438.2,1439241.29,,377801.6,,271422.6
40119300,140953,5389388.56,,2921079.63,,969026.73
28161000,1452301,7429002.24,,751030.28,,946554.63
17041000,1744058,140415793.05,,19132306.83,,161698904.6
56090000,61958.1,1309819.28,,409872.95,,527472.93
28111100,316172,1168905.06,,133447.81,,136325.08
84335900,4235180.,456399886.37,,77516992.19,,9124062.61
72131000,12400,77882.1,,16932,,33317.48
52082900,26067,570064.33,,117759.06,,457294.1
61051000,186022.6,1292923.86,,373648.37,,1104293.87
68149000,66203.9,636640.19,,92555.4,,442698.79
23023000,1654183,138168371.73,,61459260.82,,1029403.08
29349900,188226.9,25278465.34,,7145958.53,,660802.81
29035910,108040,2299341.8,,1052403.8,,16445.71
62011200,4848,109028.67,,59323,,118144.27
73160000,186856,471762.61,,212876.23,,260086.45
71104900,22,688.5,,255,,283.66
02043000,1153444,154369893.25,,51860441.78,,33804.42
08071900,6174801,8396603.82,,2125075.59,,512.29
84659100,448141.2,13209880.99,,3521874.33,,346353.07
90129000,3626.5,406846.41,,92041,,58263.19
07099000,400,324,,120,,0
,,,Page 9,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
07133200,1220595,30062076.66,,9637505.5,,219515.12
08072000,16385,39825.3,,6531,,43891.28
27101120,1189418,463552248.54,,164495510.22,,4.7
72171000,2707866,138174457.4,,25564113.39,,50823989.21
84253100,46605,1186209.48,,490040.86,,441828.41
74031100,56382.2,3936989.84,,3137776.52,,24058.09
12119090,4498808.,74367869.33,,12837376.94,,20723810.86
27050000,1015,42600.08,,7600,,15606.4
03054900,17001,488727.51,,125386.42,,0
13019020,180313.5,791698.18,,210971.09,,43523.77
14019000,901270,266318.78,,61476.92,,128641.44
72029900,294347,3449005.98,,238481.5,,781486.94
87032120,39375,2629404.75,,9158788,,466569.1
15071000,2592038,42461315.01,,2948659.48,,5942182.9
72042100,202522,291767.4,,51290,,187565.99
84101200,1482,808.82,,124,,7.92
12141000,8275564,1579352049.21,,392256966.96,,275059.9
01051900,186,8.1,,3,,0
15149900,42803,695071.72,,229778.16,,279178.64
26219000,5092493,20348186.45,,5293913.06,,289872.61
70010000,1191968,2445717.88,,964622.21,,39407.66
35061010,14828,50087.61,,19223,,9017.36
84378000,1172556,323356205.86,,101912914.3,,4727305.64
61032900,1060,140861.75,,11900,,110568.3
15211000,1139771,16793712.04,,1060744.2,,5147990.49
52101900,3362,84706.97,,14600.51,,3539.13
82031000,294562,2809541.28,,493317.57,,1473846.77
87033290,2618334,1018198197.86,,4652794759.43,,2048087218.51
38130000,947495.2,10491747.42,,2296967.93,,2102338.45
90065200,27,4876.28,,1477.66,,2850.16
25162000,112273.4,53700.92,,17072.57,,7923.31
39095000,1699985.,30477408.76,,9357651.15,,5794808.04
87039000,237376,13592128.22,,9376205.42,,7712047.61
,,,Page 10,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
29336900,298651.1,3417717.74,,565442.4,,249508.76
null,null,0,,null,,0
87052000,1245940,50251378.07,,17640874.85,,4533814.94
48221000,166909,2032524.27,,271938.18,,418299.21
29029000,1706259,201476352.11,,43245935.44,,43807079.46
92099400,118.5,1716.8,,320,,1375.1
19053110,263933.5,2364708.9,,494503.46,,946172.3
85152100,438593.7,15433161.67,,5686323.18,,1068057.13
73043190,312186,5238295.38,,436064.82,,1511940.52
85163300,16701,247686.65,,78040.12,,279245.22
02023000,1225333.,43417954.32,,5688129.29,,1184145.52
84121000,74186.5,2137804.53,,648713.73,,150523.49
82012000,57,14476.2,,5346,,5790.21
25081000,4804243,73756498.57,,16416450.58,,19471017.62
68099000,5260958.,10264476.26,,3998943.2,,6619425.1
87085000,158872.9,15320262.16,,1170285.6,,1984288.27
63062200,1278701.,17888815.5,,2786990.84,,6903061.55
74082900,363735.2,7529219.18,,1541289.34,,2144778.18
07101000,485841.2,2043964.56,,350922.28,,826267.45
25262000,1149159.,3107714.67,,525046.66,,622344.01
25061000,7461414,166882079.1,,52755937.11,,40580208.96
73142000,2787688.,20560494.56,,4605776.42,,11221019.8
17011100,4312409,48966541.96,,19625489.47,,0
